frame,cx,cy,w,h,angle,class
kimlik2.jpg,149,148,284,291,0,kimlik
kimlik76.jpg,150,150,297,299,0,kimlik
kimlik55.jpg,150,136,242,185,0,kimlik
kimlik61.jpg,75,150,145,299,0,kimlik
kimlik61.jpg,227,150,145,299,0,kimlik
kimlik49.jpg,61,149,120,290,3,kimlik
kimlik49.jpg,232,146,120,290,3,kimlik
kimlik71.jpg,150,150,292,292,3,kimlik
kimlik66.jpg,148,147,263,267,0,kimlik
kimlik9.jpg,154,143,244,262,0,kimlik
kimlik82.jpg,146,166,216,266,0,kimlik
kimlik53.jpg,73,149,143,299,0,kimlik
kimlik53.jpg,226,150,143,298,0,kimlik
kimlik81.jpg,95,189,129,188,0,kimlik
kimlik81.jpg,231,188,116,179,3,kimlik
kimlik72.jpg,141,149,159,189,2,kimlik
kimlik56.jpg,126,135,154,266,3,kimlik
kimlik45.jpg,122,148,83,198,3,kimlik
kimlik45.jpg,212,148,83,198,3,kimlik
kimlik7.jpg,75,148,136,284,3,kimlik
kimlik7.jpg,228,150,136,284,3,kimlik
kimlik37.jpg,97,164,104,255,3,kimlik
kimlik37.jpg,244,146,105,245,3,kimlik
kimlik44.jpg,153,149,278,285,0,kimlik
kimlik40.jpg,78,150,142,297,0,kimlik
kimlik40.jpg,228,150,142,297,0,kimlik
kimlik59.jpg,75,150,149,297,0,kimlik
kimlik59.jpg,225,150,147,298,0,kimlik
kimlik48.jpg,53,85,82,145,0,kimlik
kimlik48.jpg,147,87,82,145,0,kimlik
kimlik11.jpg,150,151,300,295,0,kimlik
kimlik42.jpg,82,156,102,243,0,kimlik
kimlik42.jpg,223,144,97,231,0,kimlik
kimlik43.jpg,150,150,298,298,0,kimlik
kimlik54.jpg,76,150,146,291,0,kimlik
kimlik54.jpg,226,150,141,291,0,kimlik
kimlik25.jpg,76,150,151,299,0,kimlik
kimlik25.jpg,232,150,135,299,0,kimlik
kimlik73.jpg,136,133,195,261,0,kimlik
kimlik69.jpg,74,148,147,291,0,kimlik
kimlik69.jpg,225,147,149,295,0,kimlik
kimlik29.jpg,136,132,266,256,0,kimlik
kimlik50.jpg,75,150,149,299,0,kimlik
kimlik50.jpg,226,149,147,299,0,kimlik
kimlik8.jpg,150,154,299,254,0,kimlik
kimlik74.jpg,141,144,168,240,2,kimlik
kimlik36.jpg,151,145,299,225,0,kimlik
kimlik85.jpg,213,149,145,203,3,kimlik
kimlik51.jpg,150,154,299,257,0,kimlik
kimlik68.jpg,69,143,124,258,0,kimlik
kimlik68.jpg,239,152,115,244,3,kimlik
kimlik47.jpg,112,144,111,247,0,kimlik
kimlik30.jpg,150,153,258,261,0,kimlik
kimlik84.jpg,105,149,181,199,3,kimlik
kimlik12.jpg,150,150,299,298,0,kimlik
kimlik64.jpg,91,132,125,250,0,kimlik
kimlik64.jpg,227,132,125,250,0,kimlik
kimlik63.jpg,80,149,136,279,0,kimlik
kimlik63.jpg,226,151,136,274,0,kimlik
kimlik52.jpg,75,161,100,215,0,kimlik
kimlik52.jpg,194,163,102,212,3,kimlik
kimlik6.jpg,73,156,98,256,0,kimlik
kimlik6.jpg,202,152,99,254,3,kimlik
kimlik34.jpg,78,148,96,262,3,kimlik
kimlik34.jpg,215,147,100,263,3,kimlik
kimlik18.jpg,150,151,299,298,0,kimlik
kimlik27.jpg,150,150,299,299,0,kimlik
kimlik1.jpg,145,170,288,261,0,kimlik
kimlik79.jpg,170,168,236,221,0,kimlik
kimlik60.jpg,150,150,298,299,0,kimlik
kimlik17.jpg,150,161,225,223,3,kimlik
kimlik83.jpg,224,150,143,299,0,kimlik
kimlik83.jpg,73,150,143,299,0,kimlik
kimlik65.jpg,77,120,127,222,0,kimlik
kimlik65.jpg,225,125,133,223,0,kimlik
kimlik23.jpg,149,145,153,282,0,kimlik
kimlik31.jpg,150,155,146,205,0,kimlik
kimlik41.jpg,82,162,102,197,0,kimlik
kimlik41.jpg,236,161,102,197,3,kimlik
kimlik4.jpg,131,210,261,178,0,kimlik
kimlik62.jpg,95,140,128,266,0,kimlik
kimlik62.jpg,234,140,128,274,0,kimlik
kimlik57.jpg,150,150,143,194,2,kimlik
kimlik5.jpg,151,149,248,258,0,kimlik
kimlik67.jpg,154,167,261,260,0,kimlik
kimlik33.jpg,83,147,106,250,3,kimlik
kimlik33.jpg,228,139,108,258,3,kimlik
kimlik13.jpg,146,152,266,284,0,kimlik
kimlik75.jpg,150,151,178,247,2,kimlik
kimlik24.jpg,144,174,181,240,0,kimlik
kimlik39.jpg,75,155,130,284,0,kimlik
kimlik39.jpg,224,155,132,284,3,kimlik
